date,close_usd,sma_200d,days_since_genesis,return_1m,return_12m
2014-11-30,373.34,,2157,,
2014-12-31,319.25,,2188,-0.14488134140461773,
2015-01-31,217.98,,2219,-0.31721221613155837,
2015-02-28,252.98,,2247,0.16056518946692355,
2015-03-31,243.98,,2278,-0.03557593485651045,
2015-04-30,235.75,,2308,-0.03373227313714233,
2015-05-31,229.08,,2339,-0.028292682926829182,
2015-06-30,264.13,251.27829999999997,2369,0.15300331761829922,
2015-07-31,284.39,246.65390000000002,2400,0.07670465301177454,
2015-08-31,229.84,250.84025000000003,2431,-0.19181405815956953,
2015-09-30,236.65,246.90255000000002,2461,0.02962930734423952,
2015-10-31,310.06,248.87489999999997,2492,0.31020494401014154,
2015-11-30,377.98,266.2691,2522,0.21905437657227633,0.01242834949375915
2015-12-31,430.57,296.12809999999996,2553,0.13913434573257843,0.3486922474549725
2016-01-31,370.0,319.47005,2584,-0.1406739902919386,0.6974034315074777
2016-02-29,436.62,337.36895000000004,2613,0.18005405405405406,0.7259071863388411
2016-03-31,415.51,365.2021,2644,-0.04834867848472357,0.7030494302811707
2016-04-30,446.7,394.8032,2674,0.0750643787153138,0.8948038176033934
2016-05-31,532.06,417.43945,2705,0.19109021714797403,1.3225947267330187
2016-06-30,666.84,458.94949999999994,2735,0.2533172950419127,1.524665884223678
2016-07-31,620.01,492.9993,2766,-0.07022674104732773,1.1801399486620485
2016-08-31,570.76,522.7683000000001,2797,-0.07943420267415047,1.4832927253741732
2016-09-30,608.26,550.4614,2827,0.06570187118929138,1.5702936826537077
2016-10-31,697.67,584.9219,2858,0.1469930621773583,1.2501128813777975
2016-11-30,742.06,626.01215,2888,0.0636260696317743,0.9632255674903432
2016-12-31,964.32,672.3343500000001,2919,0.29951755922701695,1.239635831572102
2017-01-31,965.01,709.3084,2950,0.0007155301144847748,1.608135135135135
2017-02-28,1191.21,770.9714,2978,0.23440171604439342,1.728253401126838
2017-03-31,1070.31,854.8322000000001,3009,-0.10149343944392686,1.5758946836417898
2017-04-30,1350.21,945.3706,3039,0.26151301959245465,2.022632639355272
2017-05-31,2298.01,1131.2567000000001,3070,0.7019648795372573,3.3190805548246445
2017-06-30,2465.49,1412.51655,3100,0.07288044873608013,2.697273708835702
2017-07-31,2855.81,1663.1930000000002,3131,0.1583133575881468,3.6060708698246806
2017-08-31,4734.26,2116.5499,3162,0.6577643470679073,7.294659751909736
2017-09-30,4326.09,2555.52845,3192,-0.08621621964150683,6.112238187617137
2017-10-31,6434.21,3213.4711500000003,3223,0.4873037777762368,8.222426075365144
2017-11-30,9947.67,4164.63675,3253,0.5460592675713103,12.405479341293159
2017-12-31,13880.0,6123.938150000001,3284,0.3953016133426219,13.393562302969968
2018-01-31,10149.0,7740.974249999999,3315,-0.26880403458213253,9.516989461249107
