variant,label,n_triggers,first_trigger,last_trigger,avg_fr_30d_pct,avg_fr_90d_pct,avg_fr_180d_pct,avg_fr_365d_pct,win_rate_365d_pct,n_near_true_bottom,pct_near_true_bottom
_baseline_any_day,BASELINE: random day in window,3592,2016-05-31,2026-03-31,6.42,22.96,56.87,157.49,72.43,362,10.08
S1_rsi_38,RSI(3) < 38 only,1119,2016-06-21,2026-03-29,4.86,15.65,46.41,126.99,69.04,121,10.81
S1_rsi_30,RSI(3) < 30 only,795,2016-06-21,2026-03-29,4.75,16.2,45.25,114.25,67.8,88,11.07
S1_rsi_20,RSI(3) < 20 only,438,2016-06-21,2026-03-29,4.66,13.75,39.87,99.79,69.15,49,11.19
vol_excess_j1,Volume > J-1 only,1775,2016-05-31,2026-03-30,6.53,22.57,56.62,158.18,72.44,179,10.08
vol_excess_ma20,Volume > 1.5×MA20 only,528,2016-05-31,2026-03-04,7.65,28.88,67.85,183.79,76.08,53,10.04
AND_rsi38_volj1,RSI<38 AND vol>J-1 (primary),614,2016-06-21,2026-03-29,5.5,17.78,51.18,115.71,67.7,69,11.24
AND_rsi30_volj1,RSI<30 AND vol>J-1,470,2016-06-21,2026-03-29,5.95,19.46,55.12,113.45,67.07,55,11.7
AND_rsi20_volj1,RSI<20 AND vol>J-1,288,2016-06-21,2026-03-29,6.13,17.96,50.64,103.68,68.38,31,10.76
AND_rsi38_volma20,RSI<38 AND vol>1.5×MA20,216,2016-06-21,2026-02-05,5.97,25.37,70.83,161.81,69.59,23,10.65
GATED_rsi38_volj1,GATED (in DD-30%): RSI<38 AND vol>J-1,254,2016-08-02,2026-03-29,4.19,7.58,21.48,70.11,60.26,62,24.41
GATED_rsi30_volj1,GATED (in DD-30%): RSI<30 AND vol>J-1,207,2016-08-02,2026-03-29,4.31,8.37,23.83,66.59,59.24,48,23.19
GATED_rsi38_volma20,GATED (in DD-30%): RSI<38 AND vol>1.5×MA20,93,2016-08-02,2026-02-05,4.61,12.53,30.35,72.66,60.71,23,24.73
