date,btc_close,def_signal,agg_signal,position,equity_cascade
2016-05-31,532.06,0.0,1.0,0.5,100.0
2016-06-30,666.84,0.0,1.0,0.5,112.41586475209564
2016-07-31,620.01,0.0,1.0,0.5,108.46856484031721
2016-08-31,570.76,0.0,1.0,0.5,104.16050785866722
2016-09-30,608.26,0.0,1.0,0.5,107.58227799383786
2016-10-31,697.67,0.0,1.0,0.5,115.4892022330029
2016-11-30,742.06,0.0,1.0,0.5,119.16326424450045
2016-12-31,964.32,0.0,1.0,0.5,137.00900927251888
2017-01-31,965.01,0.0,1.0,0.5,137.05802630856397
2017-02-28,1191.21,0.0,1.0,0.5,153.12134459075648
2017-03-31,1070.31,0.0,1.0,0.5,145.35093863335916
2017-04-30,1350.21,1.0,1.0,1.0,164.35652006466285
2017-05-31,2298.01,1.0,1.0,1.0,279.31813357285506
2017-06-30,2465.49,1.0,1.0,1.0,299.67496448776905
2017-07-31,2855.81,1.0,1.0,1.0,347.1175143009364
2017-08-31,4734.26,1.0,1.0,1.0,575.4390394509269
2017-09-30,4326.09,1.0,1.0,1.0,525.826860835328
2017-10-31,6434.21,1.0,1.0,1.0,782.064276576603
2017-11-30,9947.67,1.0,0.0,0.5,1209.1177226377094
2017-12-31,13880.0,1.0,0.0,0.5,1445.078021571037
2018-01-31,10149.0,1.0,0.0,0.5,1250.8566203289067
2018-02-28,10314.9,1.0,0.0,0.5,1261.0801454699335
2018-03-31,6928.62,1.0,0.0,0.5,1054.0800545819013
2018-04-30,9242.17,1.0,0.0,0.5,1230.0650927480842
2018-05-31,7492.28,1.0,0.0,0.5,1113.6163255673819
2018-06-30,6385.71,1.0,0.0,0.5,1031.3787144941773
2018-07-31,7725.43,1.0,0.0,0.5,1139.5701835228472
2018-08-31,7017.35,1.0,0.0,0.5,1087.3461095522814
2018-09-30,6597.81,1.0,0.0,0.5,1054.842017067115
2018-10-31,6303.27,0.0,0.0,0.0,1031.2968431603983
2018-11-30,3971.06,0.0,0.0,0.0,1028.7186010524974
2018-12-31,3693.3,0.0,0.0,0.0,1028.7186010524974
2019-01-31,3413.11,0.0,1.0,0.5,1028.7186010524974
2019-02-28,3791.36,0.0,1.0,0.5,1083.149481118759
2019-03-31,4096.08,0.0,1.0,0.5,1126.6770424538088
2019-04-30,5269.0,0.0,1.0,0.5,1287.9900583903777
2019-05-31,8547.2,1.0,1.0,1.0,1688.6627675776372
2019-06-30,10760.1,1.0,1.0,1.0,2121.641812452561
2019-07-31,10085.34,1.0,1.0,1.0,1988.5948120185049
2019-08-31,9594.15,1.0,1.0,1.0,1891.7435520991198
2019-09-30,8298.45,1.0,1.0,1.0,1636.2616052403748
2019-10-31,9150.07,1.0,1.0,1.0,1804.181290031487
2019-11-30,7550.67,1.0,1.0,1.0,1488.8167567244893
2019-12-31,7168.36,1.0,1.0,1.0,1413.4341040243528
2020-01-31,9327.85,1.0,1.0,1.0,1839.2353770211819
2020-02-29,8527.74,1.0,1.0,1.0,1681.472267890094
2020-03-31,6421.14,1.0,1.0,1.0,1266.0996745022476
2020-04-30,8627.32,1.0,1.0,1.0,1701.1071311054939
2020-05-31,9446.19,0.0,1.0,0.5,1862.5692765282156
2020-06-30,9132.96,0.0,1.0,0.5,1827.0320127817647
2020-07-31,11356.74,1.0,1.0,1.0,2049.463582031156
2020-08-31,11655.0,1.0,1.0,1.0,2098.1646129057835
