date,btc_close,def_signal,agg_signal,position,equity_cascade_weekly,hodl_equity
2015-11-01,328.98,0.0,1.0,0.5,100.0,100.0
2015-11-08,371.87,0.0,1.0,0.5,106.26863335157152,113.03726670314305
2015-11-15,317.0,0.0,1.0,0.5,98.42858183894516,96.35844124262873
2015-11-22,323.11,0.0,1.0,0.5,99.3771601276454,98.21569700285731
2015-11-29,371.04,0.0,1.0,0.5,106.74794296463288,112.7849717308043
2015-12-06,394.6,0.0,1.0,0.5,110.1370405501314,119.94650130707033
2015-12-13,435.8,0.0,1.0,0.5,115.88671879476573,132.47005897015015
2015-12-20,441.48,0.0,1.0,0.5,116.64192366254255,134.1966076965165
2015-12-27,423.29,0.0,1.0,0.5,114.23896476132205,128.6673961942975
2016-01-03,430.85,0.0,1.0,0.5,115.25912419527464,130.96540823150343
2016-01-10,447.21,0.0,1.0,0.5,117.4474023336461,135.9383549151924
2016-01-17,382.85,0.0,1.0,0.5,108.9962107075717,116.37485561432305
2016-01-24,402.5,0.0,1.0,0.5,111.79335781532119,122.34786309198127
2016-01-31,370.0,0.0,1.0,0.5,107.27996138178338,112.46884309076539
2016-02-07,375.4,0.0,1.0,0.5,108.06281515402883,114.11028026019818
2016-02-14,403.95,0.0,1.0,0.5,112.17202316234997,122.78861936895859
2016-02-21,437.7,0.0,1.0,0.5,116.85800630596836,133.04760167791355
2016-02-28,432.16,0.0,1.0,0.5,116.11846626149149,131.363608730014
2016-03-06,404.78,0.0,1.0,0.5,112.44005594327643,123.04091434129734
2016-03-13,412.64,0.0,1.0,0.5,113.53173394084817,125.43011733236062
2016-03-20,411.34,0.0,1.0,0.5,113.3528961474652,125.03495653231198
2016-03-27,424.3,0.0,1.0,0.5,115.13858868170837,128.97440573895068
2016-04-03,419.0,0.0,1.0,0.5,114.41948130483696,127.36336555413703
2016-04-10,420.77,0.0,1.0,0.5,114.6611549109343,127.90139218189553
2016-04-17,426.75,0.0,1.0,0.5,115.4759393613079,129.71913186211927
2016-04-24,459.4,0.0,1.0,0.5,119.89338449328997,139.64374734026384
2016-05-01,451.4,0.0,1.0,0.5,118.84947169839846,137.21198857073378
2016-05-08,457.81,0.0,1.0,0.5,119.6933187449057,139.16043528481973
2016-05-15,457.48,0.0,1.0,0.5,119.65017989343256,139.06012523557663
2016-05-22,437.85,0.0,1.0,0.5,117.08314632769408,133.09319715484224
2016-05-29,513.85,0.0,1.0,0.5,127.24452479167117,156.19490546537784
2016-06-05,573.76,0.0,1.0,0.5,134.66227265609564,174.40573895069608
2016-06-12,667.94,0.0,1.0,0.5,145.714361368058,203.03361906498876
2016-06-19,760.55,0.0,1.0,0.5,155.81602245011317,231.18426652076113
2016-06-26,628.61,0.0,1.0,0.5,142.300562584182,191.07848501428657
2016-07-03,664.14,0.0,1.0,0.5,146.32208545895008,201.87853364946196
2016-07-10,646.55,0.0,1.0,0.5,144.38438747115916,196.53170405495771
2016-07-17,678.23,0.0,1.0,0.5,147.92169888952304,206.1614687822968
2016-07-24,659.51,0.0,1.0,0.5,145.88028653441353,200.47115326159647
2016-07-31,620.01,0.0,1.0,0.5,141.51168612038697,188.46434433704175
2016-08-07,592.6,0.0,1.0,0.5,138.3836435754604,180.1325308529394
2016-08-14,567.45,0.0,1.0,0.5,135.44713612024375,172.48768922122926
2016-08-21,578.47,0.0,1.0,0.5,136.7623422529824,175.8374369262569
2016-08-28,573.0,0.0,1.0,0.5,136.11573135516244,174.17472186759073
2016-09-04,604.25,0.0,1.0,0.5,139.82743868923646,183.67377956106753
2016-09-11,603.8,0.0,1.0,0.5,139.77537220399842,183.53699313028145
2016-09-18,608.0,0.0,1.0,0.5,140.2615071520415,184.81366648428474
2016-09-25,597.41,0.0,1.0,0.5,139.03998629616973,181.5946258131193
2016-10-02,608.59,1.0,1.0,1.0,140.34099150765863,184.9930086935376
2016-10-09,613.61,1.0,1.0,1.0,141.14775216313166,186.51893732141772
2016-10-16,638.09,1.0,1.0,1.0,146.77884841800605,193.9601191561797
2016-10-23,649.69,1.0,1.0,1.0,149.44717834270142,197.4861693719983
2016-10-30,696.36,1.0,1.0,1.0,160.1826057207646,211.67244209374428
2016-11-06,710.22,1.0,1.0,1.0,163.37079992389198,215.8854641619551
2016-11-13,701.51,1.0,1.0,1.0,161.3672521959526,213.23788680162926
2016-11-20,727.09,1.0,1.0,1.0,167.25137973678946,221.01343546720167
2016-11-27,726.12,1.0,1.0,1.0,167.02825214825887,220.71858471639612
2016-12-04,761.99,1.0,1.0,1.0,175.27937235505397,231.62198309927655
2016-12-11,768.19,1.0,1.0,1.0,176.7055486941153,233.50659614566234
2016-12-18,788.68,1.0,1.0,1.0,181.41883146627117,239.73493829412118
2016-12-25,891.67,1.0,1.0,1.0,205.10946068561395,271.04079275335886
2017-01-01,998.8,1.0,1.0,1.0,229.75240765394284,303.60508237582826
2017-01-08,906.17,1.0,1.0,1.0,208.44487309148315,275.4483555231321
2017-01-15,822.47,1.0,1.0,1.0,189.19149251415536,250.00607939692384
2017-01-22,919.39,1.0,1.0,1.0,211.48584909186874,279.46683688978055
2017-01-29,913.1,1.0,1.0,1.0,210.03897019304688,277.5548665572375
2017-02-05,1014.57,1.0,1.0,1.0,233.37995618087785,308.3986868502644
2017-02-12,1001.63,1.0,1.0,1.0,230.4033881441918,304.46531704054956
2017-02-19,1051.8,1.0,1.0,1.0,241.94391506849925,319.71548422396495
2017-02-26,1179.05,1.0,1.0,1.0,271.2150342855239,358.3956471518025
2017-03-05,1273.0,1.0,1.0,1.0,292.8262063911386,386.9536142014712
2017-03-12,1226.62,1.0,1.0,1.0,282.1574872611928,372.85549273512066
2017-03-19,1017.97,1.0,1.0,1.0,234.16205288294378,309.4321843273147
2017-03-26,960.0,1.0,1.0,1.0,220.82730411272044,291.8110523436075
2017-04-02,1078.01,1.0,1.0,1.0,247.97296052766015,327.6825338926378
2017-04-09,1206.2,1.0,1.0,1.0,277.4603064799619,366.64842847589523
2017-04-16,1162.31,1.0,1.0,1.0,267.36435817005844,353.30719192656085
2017-04-23,1241.99,1.0,1.0,1.0,285.6930244114142,377.52750927108025
2017-04-30,1350.21,1.0,1.0,1.0,310.5867023812878,410.42312602589817
2017-05-07,1554.01,1.0,1.0,1.0,357.46649881688415,472.37218067967655
2017-05-14,1784.0,1.0,1.0,1.0,410.3707401428055,542.2822056052039
2017-05-21,2017.55,1.0,1.0,1.0,464.0938827214782,613.2743631831721
2017-05-28,2178.81,1.0,1.0,1.0,501.18826924357955,662.2925405799745
